,stim,correct_choice
0,../data/img/test/square/square76_2.png,Bad
1,../data/img/test/square/square13_5.png,Bad
2,../data/img/test/square/square37_1.png,Bad
3,../data/img/test/square/square5_1.png,Bad
4,../data/img/test/square/square26_4.png,Bad
5,../data/img/test/square/square7_5.png,Bad
6,../data/img/test/square/square31_2.png,Bad
7,../data/img/test/square/square84_5.png,Bad
8,../data/img/test/square/square10_3.png,Bad
9,../data/img/test/square/square37_5.png,Bad
10,../data/img/test/triangle/triangle19_1.png,Good
11,../data/img/test/triangle/triangle59_2.png,Good
12,../data/img/test/triangle/triangle67_2.png,Good
13,../data/img/test/triangle/triangle84_1.png,Good
14,../data/img/test/triangle/triangle45_4.png,Good
15,../data/img/test/triangle/triangle39_2.png,Good
16,../data/img/test/triangle/triangle61_2.png,Good
17,../data/img/test/triangle/triangle66_1.png,Good
18,../data/img/test/triangle/triangle0_2.png,Good
19,../data/img/test/triangle/triangle93_5.png,Good
20,../data/img/test/circle/circle32_4.png,No_info
21,../data/img/test/circle/circle78_5.png,No_info
22,../data/img/test/circle/circle56_1.png,No_info
23,../data/img/test/circle/circle59_1.png,No_info
24,../data/img/test/circle/circle8_4.png,No_info
25,../data/img/test/circle/circle92_3.png,No_info
26,../data/img/test/circle/circle13_3.png,No_info
27,../data/img/test/circle/circle98_2.png,No_info
28,../data/img/test/circle/circle1_3.png,No_info
29,../data/img/test/circle/circle90_3.png,No_info
